Temperature,Humidity,Soil Moisture,Soil Moisture Percentage,status
31.8,71,1024,0.0,1
31.8,71,1024,0.0,1
31.8,71,367,64.2,0
31.8,71,514,49.8,0
31.8,70,378,63.1,0
31.8,71,471,54.0,0
31.8,71,487,52.4,0
31.8,70,496,51.6,0
31.8,70,367,64.2,0
31.8,71,502,51.0,0
31.8,70,505,50.7,0
31.8,70,1024,0.0,1
31.8,71,1024,0.0,1
31.8,71,308,69.9,0
31.8,71,442,56.8,0
31.8,71,492,52.0,0
29.8,75,1024,0.0,1
29.8,74,1024,0.0,1
29.9,74,1024,0.0,1
29.9,74,1024,0.0,1
29.9,74,1024,0.0,1
29.9,74,847,17.3,1
29.9,74,1024,0.0,1
30,74,1024,0.0,1
30,74,1024,0.0,1
30,74,1024,0.0,1
30,74,1024,0.0,1
30,74,1024,0.0,1
29.9,74,1024,0.0,1
29.9,74,1024,0.0,1
29.9,74,1024,0.0,1
29.9,74,988,3.5,1
30,77,478,53.3,0
29.9,74,488,52.3,0
29.9,74,486,52.5,0
30,74,493,51.9,0
29.9,74,496,51.6,0
30,74,1024,0.0,1
30.1,74,398,61.1,0
30.1,74,488,52.3,0
30.1,74,1024,0.0,1
30.1,74,1024,0.0,1
30.1,74,364,64.5,0
30.1,74,493,51.9,0
30.1,74,518,49.4,0
30.1,74,507,50.5,0
30.1,74,512,50.0,0
30.1,74,511,50.1,0
30.1,74,512,50.0,0
30.1,74,506,50.6,0
30.1,74,512,50.0,0
30.1,74,512,50.0,0
30.1,74,511,50.1,0
30.1,74,510,50.2,0
30.1,74,500,51.2,0
30,74,512,50.0,0
30.1,74,516,49.6,0
30.1,74,512,50.0,0
30.1,74,518,49.4,0
30.1,74,519,49.3,0
30.1,74,519,49.3,0
30.1,74,517,49.5,0
30.1,74,516,49.6,0
30.1,74,516,49.6,0
30.1,74,516,49.6,0
29.2,79,1024,0.0,1
29.3,76,1024,0.0,1
29.3,76,1021,0.3,1
29.4,75,1013,1.1,1
29.4,75,1023,0.1,1
29.4,75,1024,0.0,1
29.4,75,1024,0.0,1
29.4,75,1024,0.0,1
29.5,77,1024,0.0,1
29.5,76,1013,1.1,1
29.5,75,1023,0.1,1
29.6,74,1024,0.0,1
29.6,74,1024,0.0,1
29.6,74,1024,0.0,1
29.6,74,1024,0.0,1
29.6,75,1024,0.0,1
29.6,76,1024,0.0,1
29.6,75,1024,0.0,1
29.6,74,1024,0.0,1
29.6,74,1024,0.0,1
29.7,74,1023,0.1,1
30.1,71,1024,0.0,1
30.1,70,1024,0.0,1
30.1,70,1024,0.0,1
30.1,70,1024,0.0,1
30,70,1024,0.0,1
30,70,1024,0.0,1
30.1,70,1024,0.0,1
30.1,70,1024,0.0,1
30.1,70,1024,0.0,1
30.1,70,1024,0.0,1
30.1,70,1024,0.0,1
30.1,70,1024,0.0,1
30.1,70,1024,0.0,1
30.1,70,1024,0.0,1
30.1,70,1024,0.0,1
30.1,70,1024,0.0,1
30.1,70,1024,0.0,1
30.1,70,1024,0.0,1
30.1,70,1024,0.0,1
30.1,69,1024,0.0,1
30.1,69,1024,0.0,1
30.1,69,1024,0.0,1
30.1,69,1024,0.0,1
30.1,69,1024,0.0,1
30.1,69,1024,0.0,1
30.1,69,1024,0.0,1
30.1,69,1024,0.0,1
30.1,69,1024,0.0,1
30.1,70,1024,0.0,1
30.1,70,1024,0.0,1
30.1,70,1024,0.0,1
30.1,70,1024,0.0,1
30.1,70,1024,0.0,1
30.1,70,1024,0.0,1
30.1,70,1024,0.0,1
30.1,70,1024,0.0,1
30.1,70,1024,0.0,1
29.3,76,1024,0.0,1
29.2,75,1024,0.0,1
29.2,75,1024,0.0,1
29.2,75,1024,0.0,1
29.2,74,1024,0.0,1
29.2,75,1024,0.0,1
29.3,75,1024,0.0,1
29.3,76,1024,0.0,1
29.3,75,1024,0.0,1
29.2,76,1024,0.0,1
29.2,75,1024,0.0,1
29.2,75,1024,0.0,1
29.2,75,1024,0.0,1
29.2,75,1024,0.0,1
29.2,74,1024,0.0,1
29.3,75,1024,0.0,1
29.3,75,1024,0.0,1
29.3,74,1024,0.0,1
29.2,75,1024,0.0,1
29.2,74,1024,0.0,1
29.2,75,1024,0.0,1
29.2,74,1024,0.0,1
29.2,74,1024,0.0,1
29.2,75,1024,0.0,1
29.2,74,1024,0.0,1
29.2,74,1024,0.0,1
29.2,75,1024,0.0,1
29.2,75,1024,0.0,1
29.2,74,1024,0.0,1
29.2,75,1024,0.0,1
29.2,75,1024,0.0,1
29.2,75,1024,0.0,1
29.2,77,1024,0.0,1
29.2,78,1024,0.0,1
29.2,79,1024,0.0,1
29.2,77,1024,0.0,1
29.2,80,1024,0.0,1
29.2,80,1024,0.0,1
29.2,77,1024,0.0,1
29.2,78,1024,0.0,1
29.2,79,1024,0.0,1
29.2,77,1024,0.0,1
29.2,77,1024,0.0,1
29.2,78,1024,0.0,1
29.2,78,1024,0.0,1
29.2,80,1024,0.0,1
29.2,78,1024,0.0,1
29.2,78,1024,0.0,1
29.2,76,1024,0.0,1
29.2,77,1024,0.0,1
29.2,76,1024,0.0,1
29.2,76,1024,0.0,1
29.2,76,1024,0.0,1
29.2,75,1024,0.0,1
29.2,75,1024,0.0,1
29.2,76,1024,0.0,1
29.2,76,1024,0.0,1
29.2,76,1024,0.0,1
29.2,76,1024,0.0,1
29.2,76,1024,0.0,1
29.3,75,1024,0.0,1
29.3,75,1024,0.0,1
29.3,76,1024,0.0,1
29.3,76,1024,0.0,1
29.3,75,1024,0.0,1
29.3,75,1024,0.0,1
29.3,75,1024,0.0,1
29.3,76,1024,0.0,1
29.3,76,1024,0.0,1
29.3,76,1024,0.0,1
29.3,76,1024,0.0,1
29.3,76,1024,0.0,1
29.3,76,1024,0.0,1
29.3,76,1024,0.0,1
29.3,75,1024,0.0,1
29.3,75,1024,0.0,1
29.3,75,1024,0.0,1
29.3,75,1024,0.0,1
29.4,75,1024,0.0,1
29.4,75,1024,0.0,1
29.4,75,1024,0.0,1
29.4,75,1024,0.0,1
29.4,76,1024,0.0,1
29.4,75,1024,0.0,1
29.4,75,1024,0.0,1
29.4,75,1024,0.0,1
29.4,75,1024,0.0,1
29.3,75,1024,0.0,1
29.4,74,1024,0.0,1
29.3,74,1024,0.0,1
29.3,74,1024,0.0,1
29.3,74,1024,0.0,1
29.3,75,1024,0.0,1
29.3,75,1024,0.0,1
29.3,74,1024,0.0,1
29.3,75,1024,0.0,1
29.3,74,1024,0.0,1
29.3,75,1024,0.0,1
29.3,75,1024,0.0,1
29.3,75,1024,0.0,1
29.3,74,1024,0.0,1
29.3,74,1024,0.0,1
29.3,74,1024,0.0,1
29.3,74,1024,0.0,1
29.3,74,1024,0.0,1
29.3,75,1024,0.0,1
29.3,75,1024,0.0,1
29.3,74,1024,0.0,1
29.3,74,1024,0.0,1
29.3,74,1024,0.0,1
29.3,74,1024,0.0,1
29.3,75,1024,0.0,1
29.3,74,1024,0.0,1
29.3,75,1024,0.0,1
29.3,74,1024,0.0,1
29.3,74,1024,0.0,1
29.3,74,1024,0.0,1
29.3,74,1024,0.0,1
29.3,74,1024,0.0,1
29.3,74,1024,0.0,1
29.3,74,1024,0.0,1
29.3,74,1024,0.0,1
29.3,74,1024,0.0,1
29.3,74,1024,0.0,1
29.3,74,1024,0.0,1
29.3,74,1024,0.0,1
29.3,74,1024,0.0,1
29.3,74,1024,0.0,1
29.3,74,1024,0.0,1
29.3,74,1024,0.0,1
29.3,74,1024,0.0,1
29.3,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.3,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.3,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,73,1024,0.0,1
29.4,74,1024,0.0,1
29.4,73,1024,0.0,1
29.4,74,1024,0.0,1
29.4,73,1024,0.0,1
29.4,74,1024,0.0,1
29.4,73,1024,0.0,1
29.4,74,1024,0.0,1
29.4,73,1024,0.0,1
29.4,74,1024,0.0,1
29.4,73,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,73,1024,0.0,1
29.4,73,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,73,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,73,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,73,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,73,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,73,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,73,1024,0.0,1
29.4,73,1024,0.0,1
29.4,73,1024,0.0,1
29.4,73,1024,0.0,1
29.4,73,1024,0.0,1
29.4,75,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,75,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,74,1024,0.0,1
29.4,73,1024,0.0,1
29.5,73,1024,0.0,1
29.5,74,1024,0.0,1
29.5,73,1024,0.0,1
29.5,74,1024,0.0,1
29.5,73,1024,0.0,1
29.5,73,1024,0.0,1
29.5,73,1024,0.0,1
29.5,73,661,35.4,1
29.5,76,642,37.3,1
29.5,75,642,37.3,1
29.5,75,639,37.6,1
29.5,74,634,38.1,1
29.5,74,632,38.3,1
29.5,74,627,38.8,1
29.5,74,608,40.6,0
29.4,74,615,39.9,1
29.4,74,609,40.5,0
29.4,74,607,40.7,0
29.4,74,606,40.8,0
29.4,74,608,40.6,0
29.4,75,606,40.8,0
29.4,74,622,39.3,1
29.4,74,616,39.8,1
29.4,73,630,38.5,1
29.4,73,620,39.5,1
29.4,74,625,39.0,1
29.4,74,593,42.1,0
29.4,74,592,42.2,0
29.2,70,1024,0.0,1
29.1,70,1024,0.0,1
29.1,70,1024,0.0,1
29.1,70,1024,0.0,1
29.1,70,1024,0.0,1
29.1,70,1024,0.0,1
29.1,70,1024,0.0,1
29.1,71,1024,0.0,1
29.1,71,1024,0.0,1
29.1,71,1024,0.0,1
29.1,70,1024,0.0,1
29.1,71,1024,0.0,1
29.1,71,1024,0.0,1
29.1,71,1024,0.0,1
29.1,70,1024,0.0,1
29.1,71,1024,0.0,1
29.1,71,1024,0.0,1
29.1,70,1024,0.0,1
29.1,70,1024,0.0,1
29.1,71,1024,0.0,1
29.1,70,1024,0.0,1
29.1,71,1024,0.0,1
29.1,71,1024,0.0,1
29.1,71,1024,0.0,1
29.1,71,1024,0.0,1
29.1,71,1024,0.0,1
29.1,70,1024,0.0,1
29.1,70,1024,0.0,1
29.1,70,1024,0.0,1
29.1,71,1024,0.0,1
29.1,71,1024,0.0,1
29.1,70,1024,0.0,1
29.1,71,1024,0.0,1
28.9,70,1024,0.0,1
29.1,71,1024,0.0,1
29,71,1024,0.0,1
29,71,1024,0.0,1
29.1,71,1024,0.0,1
29,71,1024,0.0,1
29,71,1024,0.0,1
29,71,1024,0.0,1
29,71,1024,0.0,1
29,71,1024,0.0,1
29.1,71,1024,0.0,1
29.1,71,1024,0.0,1
29,71,1024,0.0,1
29,71,1024,0.0,1
29,71,1024,0.0,1
29,71,1024,0.0,1
29,71,1024,0.0,1
29,71,1024,0.0,1
29,71,1024,0.0,1
29.1,71,1024,0.0,1
29,71,1024,0.0,1
29,71,1024,0.0,1
29,71,1024,0.0,1
29,71,1024,0.0,1
29,71,1024,0.0,1
29,71,1024,0.0,1
28.9,70,1024,0.0,1
28.9,70,1024,0.0,1
29,71,1024,0.0,1
28.9,70,1024,0.0,1
28.9,70,1024,0.0,1
28.9,70,1024,0.0,1
28.9,70,1024,0.0,1
28.9,70,1024,0.0,1
28.9,70,1024,0.0,1
28.9,70,1024,0.0,1
28.9,70,1024,0.0,1
28.9,70,1024,0.0,1
28.9,70,1024,0.0,1
28.9,70,1024,0.0,1
28.8,70,1024,0.0,1
28.8,70,1024,0.0,1
28.8,70,1024,0.0,1
28.8,70,1024,0.0,1
28.8,70,1024,0.0,1
28.8,70,427,58.3,0
28.9,70,386,62.3,0
28.9,70,1024,0.0,1
28.9,70,416,59.4,0
28.8,70,440,57.0,0
28.8,70,496,51.6,0
28.8,70,519,49.3,0
28.8,70,525,48.7,0
28.8,70,526,48.6,0
28.8,70,526,48.6,0
28.8,70,526,48.6,0
28.8,70,526,48.6,0
28.9,70,526,48.6,0
28.8,70,525,48.7,0
28.8,70,526,48.6,0
28.9,70,525,48.7,0
28.9,70,525,48.7,0
28.9,70,525,48.7,0
28.9,70,524,48.8,0
28.9,70,525,48.7,0
28.9,70,523,48.9,0
28.9,70,523,48.9,0
28.8,70,522,49.0,0
28.8,70,522,49.0,0
28.8,70,522,49.0,0
28.8,70,521,49.1,0
29.7,78,1024,0.0,1
29.8,78,1024,0.0,1
29.8,77,1024,0.0,1
29.8,78,417,59.3,0
29.8,78,483,52.8,0
29.8,78,517,49.5,0
29.8,78,555,45.8,0
29.8,78,566,44.7,0
29.8,78,567,44.6,0
29.8,77,568,44.5,0
29.8,77,562,45.1,0
29.8,77,567,44.6,0
29.8,77,568,44.5,0
29.8,77,562,45.1,0
27.7,93,652,36.3,1
27.6,91,408,60.2,0
27.6,90,437,57.3,0
27.6,89,478,53.3,0
27.6,89,526,48.6,0
27.7,90,547,46.6,0
27.6,90,554,45.9,0
27.6,91,561,45.2,0
27.6,91,568,44.5,0
27.6,91,577,43.7,0
27.6,91,580,43.4,0
27.6,91,590,42.4,0
27.6,91,595,41.9,0
27.6,90,605,40.9,0
27.6,90,615,39.9,1
27.6,91,626,38.9,1
27.6,91,626,38.9,1
27.6,91,629,38.6,1
27.6,91,630,38.5,1
27.6,92,632,38.3,1
27.6,92,642,37.3,1
27.6,92,643,37.2,1
27.6,92,645,37.0,1
27.6,91,650,36.5,1
27.5,91,654,36.1,1
27.5,90,656,35.9,1
27.5,91,648,36.7,1
27.5,92,653,36.2,1
27.6,92,662,35.4,1
27.5,91,670,34.6,1
27.5,91,672,34.4,1
27.5,91,674,34.2,1
27.5,91,674,34.2,1
27.6,92,681,33.5,1
27.6,92,676,34.0,1
27.6,92,680,33.6,1
27.6,92,672,34.4,1
27.6,92,674,34.2,1
27.6,92,674,34.2,1
27.6,91,678,33.8,1
27.6,91,678,33.8,1
27.6,92,680,33.6,1
27.6,92,685,33.1,1
27.6,91,686,33.0,1
27.6,91,680,33.6,1
27.6,92,681,33.5,1
27.6,92,686,33.0,1
27.6,91,682,33.4,1
27.6,91,686,33.0,1
27.6,91,691,32.5,1
27.6,91,692,32.4,1
27.7,92,692,32.4,1
27.7,91,694,32.2,1
27.6,92,697,31.9,1
27.6,91,703,31.3,1
27.6,92,697,31.9,1
27.7,92,701,31.5,1
27.6,90,702,31.4,1
27.7,91,696,32.0,1
27.7,91,697,31.9,1
27.7,90,706,31.1,1
27.7,90,703,31.3,1
27.7,90,708,30.9,1
27.7,90,708,30.9,1
27.7,90,710,30.7,1
27.7,90,705,31.2,1
27.7,91,705,31.2,1
27.8,90,710,30.7,1
27.8,91,715,30.2,1
27.8,92,716,30.1,1
27.8,91,712,30.5,1
27.8,90,713,30.4,1
27.8,89,706,31.1,1
27.8,90,713,30.4,1
27.9,92,703,31.3,1
27.9,92,705,31.2,1
27.9,90,704,31.3,1
27.9,91,706,31.1,1
27.9,90,708,30.9,1
27.9,90,714,30.3,1
27.9,89,710,30.7,1
27.9,89,710,30.7,1
28,90,712,30.5,1
27.9,90,713,30.4,1
28,90,712,30.5,1
