created_at,entry_id,field1,field2,field3,field3 percentage,status
2020-09-18 11:12:20 UTC,33,31.8,71,1024,0.1,1
2020-09-18 11:12:38 UTC,34,31.8,71,1024,0.1,1
2020-09-18 11:12:56 UTC,35,31.8,71,1024,0.1,1
2020-09-18 11:13:14 UTC,36,31.8,71,1024,0.1,1
2020-09-18 11:13:32 UTC,37,31.8,70,1024,0.1,1
2020-09-18 11:13:50 UTC,38,31.8,71,1024,0.1,1
2020-09-18 11:14:08 UTC,39,31.8,71,1024,0.1,1
2020-09-18 11:14:26 UTC,40,31.8,70,1024,0.1,1
2020-09-18 11:14:44 UTC,41,31.8,70,1024,0.1,1
2020-09-18 11:15:02 UTC,42,31.8,71,1024,0.1,1
2020-09-18 11:15:20 UTC,43,31.8,70,1024,0.1,1
2020-09-18 11:15:38 UTC,44,31.8,70,1024,0.1,1
2020-09-18 11:15:58 UTC,45,31.8,71,1024,0.1,1
2020-09-18 11:16:16 UTC,46,31.8,71,1024,0.1,1
2020-09-18 11:16:34 UTC,47,31.8,71,1024,0.1,1
2020-09-18 11:16:52 UTC,48,31.8,71,1024,0.1,1
2020-09-19 09:21:20 UTC,49,29.8,75,1024,0.1,1
2020-09-19 09:21:39 UTC,50,29.8,74,1024,0.1,1
2020-09-19 09:21:57 UTC,51,29.9,74,1024,0.1,1
2020-09-19 09:22:15 UTC,52,29.9,74,1024,0.1,1
2020-09-19 09:22:33 UTC,53,29.9,74,1024,0.1,1
2020-09-19 09:22:51 UTC,54,29.9,74,1024,0.1,1
2020-09-19 09:23:09 UTC,55,29.9,74,1024,0.1,1
2020-09-19 09:23:26 UTC,56,30,74,1024,0.1,1
2020-09-19 09:23:44 UTC,57,30,74,1024,0.1,1
2020-09-19 09:24:02 UTC,58,30,74,1024,0.1,1
2020-09-19 09:24:20 UTC,59,30,74,1024,0.1,1
2020-09-19 09:24:38 UTC,60,30,74,1024,0.1,1
2020-09-19 09:24:56 UTC,61,29.9,74,1024,0.1,1
2020-09-19 09:25:14 UTC,62,29.9,74,1024,0.1,1
2020-09-19 09:25:31 UTC,63,29.9,74,1024,0.1,1
2020-09-19 09:25:50 UTC,64,29.9,74,988,3.4,1
2020-09-19 09:36:22 UTC,65,30,77,478,53.3,0
2020-09-19 09:36:43 UTC,66,29.9,74,488,52.3,0
2020-09-19 09:37:01 UTC,67,29.9,74,486,52.5,0
2020-09-19 09:37:19 UTC,68,30,74,493,51.8,0
2020-09-19 09:37:37 UTC,69,29.9,74,496,51.5,0
2020-09-19 09:37:55 UTC,70,30,74,1024,0.1,1
2020-09-19 10:06:02 UTC,71,30.1,74,398,61.1,0
2020-09-19 10:06:20 UTC,72,30.1,74,488,52.3,0
2020-09-19 10:06:38 UTC,73,30.1,74,1024,0.1,1
2020-09-19 10:06:56 UTC,74,30.1,74,1024,0.1,1
2020-09-19 10:07:14 UTC,75,30.1,74,364,64.4,0
2020-09-19 10:07:32 UTC,76,30.1,74,493,51.8,0
2020-09-19 10:07:49 UTC,77,30.1,74,518,49.4,0
2020-09-19 10:08:08 UTC,78,30.1,74,507,50.4,0
2020-09-19 10:08:26 UTC,79,30.1,74,512,50,0
